Nom,Prénom,Parti politique ou candidat indépendant,Nom-Co,Prénom-Co,Titre,Poste no
DJABIA GOMIS,Raymonde,Projet Montréal - Équipe Luc Rabouin,,,,"5,20"
NEWMAN,James,Transition Montréal - Équipe Craig Sauvé,,,,"5,20"
PALESTINI,Laura,Équipe LaSalle Team,,,,"5,20"
TREMBLAY,Eric,Action Montréal - Équipe Gilbert Thibodeau,,,,"5,20"
ANSARI,Bisma,Équipe LaSalle Team,,,,"5,21"
DENNIS,Debra,Transition Montréal - Équipe Craig Sauvé,,,,"5,21"
DIALLO,Kadiatou,Projet Montréal - Équipe Luc Rabouin,,,,"5,21"
PHARAND,Josée,Action Montréal - Équipe Gilbert Thibodeau,,,,"5,21"
CORRAL,Stéphanie,Action Montréal - Équipe Gilbert Thibodeau,,,,"5,22"
ÉBONGUÉ,James,Projet Montréal - Équipe Luc Rabouin,,,,"5,22"
TROILO,Josée,Équipe LaSalle Team,,,,"5,22"
WEBER,Oren,Transition Montréal - Équipe Craig Sauvé,,,,"5,22"
HURLEY,Doug,Ensemble Montréal - Équipe Soraya,,,,"6,00"
MYRAND,Danielle,Projet Montréal - Équipe Luc Rabouin,,,,"6,00"
FORGUES,Julie,Ensemble Montréal - Équipe Soraya,,,,"6,10"
RITCHOT,Stéphane,Projet Montréal - Équipe Luc Rabouin,,,,"6,10"
MCINTYRE,Patricia,Ensemble Montréal - Équipe Soraya,,,,"6,20"
WILSON,Alain,Projet Montréal - Équipe Luc Rabouin,,,,"6,20"
BÉLANGER,Richard,Ensemble Montréal - Équipe Soraya,,,,"6,30"
CÔTÉ,Guillaume,Projet Montréal - Équipe Luc Rabouin,,,,"6,30"
JEAN LEONARD,Sandra,Futur Montréal,,,,"6,30"
ARSLANIAN,Caroline,Projet Montréal - Équipe Luc Rabouin,,,,"6,40"
KARP,Avi,Transition Montréal - Équipe Craig Sauvé,,,,"6,40"
LITTLE,Christopher,Ensemble Montréal - Équipe Soraya,,,,"6,40"
VOISARD,Philippe,Indépendant,,,,"6,40"
DAKOUO,Jean Pierre,Action Montréal - Équipe Gilbert Thibodeau,,,,"7,00"
GAGNON,Chantal,Ensemble Montréal - Équipe Soraya,,,,"7,00"
HASSAN-COURNOL,Alia,Projet Montréal - Équipe Luc Rabouin,,,,"7,00"
HOUDE,Anaïs,Transition Montréal - Équipe Craig Sauvé,,,,"7,00"
COHEN,Aaron,Transition Montréal - Équipe Craig Sauvé,,,,"7,10"
EL-CHEIKH,Rima,Action Montréal - Équipe Gilbert Thibodeau,,,,"7,10"
FERNANDEZ MOLINA,Giselle,Futur Montréal,,,,"7,10"
HÉNAULT-RATELLE,Julien,Ensemble Montréal - Équipe Soraya,,,,"7,10"
MIRON,Suzie,Projet Montréal - Équipe Luc Rabouin,,,,"7,10"
LECLERC,Jérôme,Projet Montréal - Équipe Luc Rabouin,,,,"7,20"
MARTINEZ FERRADA,Soraya,Ensemble Montréal - Équipe Soraya,DEVAUX-GUIZANI,Alexandre,Colistier,"7,20"
MÉNARD,Luc,Futur Montréal,,,,"7,20"
MIRCHOVSKA,Ljupka,Transition Montréal - Équipe Craig Sauvé,,,,"7,20"
SAMUEL,Sherman,Indépendant,,,,"7,20"
ST-HILAIRE,Daniel,Action Montréal - Équipe Gilbert Thibodeau,,,,"7,20"
BAMBA,Nzelo,Futur Montréal,,,,"7,30"
CHAMPAGNE,David,Transition Montréal - Équipe Craig Sauvé,,,,"7,30"
SÉVIGNY,Robert,Action Montréal - Équipe Gilbert Thibodeau,,,,"7,30"
V. DOYON,Sarah,Projet Montréal - Équipe Luc Rabouin,,,,"7,30"
HARNEZ,Malo,Transition Montréal - Équipe Craig Sauvé,,,,"7,40"
JACQUES-MIGNAULT,Paul,Projet Montréal - Équipe Luc Rabouin,,,,"7,40"
THIBODEAU,Gilbert,Action Montréal - Équipe Gilbert Thibodeau,NAULT,Alain,Colistier,"7,40"
ZAMOR ALEXANDRE,Ismela,Futur Montréal,,,,"7,40"
ZUNIGA RAMOS,Alba Stella,Ensemble Montréal - Équipe Soraya,,,,"7,40"
AKPINAR,Salih,Indépendant,,,,"8,00"
BLACK,Christine,Ensemble Montréal - Équipe Soraya,,,,"8,00"
MARCELIN,Anastasia,Action Montréal - Équipe Gilbert Thibodeau,,,,"8,00"
PETIT-FRÈRE,Roger,Projet Montréal - Équipe Luc Rabouin,,,,"8,00"
GAUVIN,Catherine,Transition Montréal - Équipe Craig Sauvé,,,,"8,10"
HARIRI,Youssef,Ensemble Montréal - Équipe Soraya,,,,"8,10"
NGOIE,Joseph Wa Ngoie,Indépendant,,,,"8,10"
SALAZAR GOMEZ,Fatima Gabriela,Projet Montréal - Équipe Luc Rabouin,,,,"8,10"
